SCHOLA;2011;A comparative review on wildfire simulators
SCHOLA;2012;A review of wildfire occurrence research
SCHOLA;2018;Wildland fire prevention: a review
SCHOLA;2014;A review on forest fire detection techniques
SCHOLA;2020;Wildfire management in Canada: Review, challenges and opportunities
SCHOLA;2020;A review of machine learning applications in wildfire science and management
SCHOLA;1998;Current approaches to modelling the spread of wildland fire: a review
SCHOLA;2015;Wildfire likelihood's elements: a literature review
SCHOLA;2021;Peatland-fire interactions: A review of wildland fire feedbacks and interactions in Canadian boreal peatlands
SCHOLA;2018;The role of communication in preparation for wildland fire: A literature review
SCHOLA;2015;A systematic review of the physical health impacts from non-occupational exposure to wildfire smoke
SCHOLA;2007;A review of wildland fire spread modelling, 1990-present 3: Mathematical analogues and simulation models
SCHOLA;2016;Review of the health effects of wildland fire smoke on wildland firefighters and the public
SCHOLA;2022;Social and historical dimensions of wildfire research and the consideration given to practical knowledge: a systematic review
SCHOLA;2016;Perceptions of bushfire risk mitigation and biodiversity conservation: a systematic review of fifteen years of research
SCHOLA;2013;A review of recent advances in risk analysis for wildfire management
SCHOLA;2021;A mixed methods literature review and framework for decision factors that may influence the utilization of managed wildfire on federal lands, USA
SCHOLA;2011;Uncertainty and risk in wildland fire management: a review
SCHOLA;2015;Community wildfire preparedness: A global state-of-the-knowledge summary of social science research
SCHOLA;2013;Social science research related to wildfire management: an overview of recent findings and future research needs
SCHOLA;2017;Wildfire smoke exposure and human health: Significant gaps in research for a growing public health issue
SCHOLA;2016;Critical review of health impacts of wildfire smoke exposure
SCHOLA;2015;A review of recent forest and wildland fire management decision support systems research
SCHOLA;2011;Post-wildfire soil erosion in the Mediterranean: Review and future research directions
SCHOLA;2011;Review of vortices in wildland fire
SCHOLA;2024;A comprehensive survey of research towards AI-enabled unmanned aerial systems in pre-, active-, and post-wildfire management
SCHOLA;2021;Health effects of wildfire smoke in children and public health tools: a narrative review
SCHOLA;2019;Global wildland fire management research needs
SCHOLA;2015;Operational wildfire suppression modelling: a review evaluating development, state of the art and future directions
SCHOLA;2022;Wildfire induces changes in receiving waters: A review with considerations for water quality management
SCHOLA;2011;Wildfire effects on water quality in forest catchments: A review with implications for water supply
SCHOLA;2020;Climate change impact on future wildfire danger and activity in southern Europe: a review
SCHOLA;2010;The economic cost of adverse health effects from wildfire-smoke exposure: a review
SCHOLA;2020;Impact of wildfire on permafrost landscapes: A review of recent advances and future prospects
SCHOLA;2022;A review of the effects of forest fire on soil properties
SCHOLA;2023;A global outlook on increasing wildfire risk: current policy situation and future pathways
SCHOLA;2022;A review on early wildfire detection from unmanned aerial vehicles using deep learning-based computer vision algorithms
SCHOLA;2013;The worldwide "wildfire" problem
SCHOLA;2022;Health risks and mitigation strategies from occupational exposure to wildland fire: a scoping review
SCHOLA;2024;Health effects of wildfire smoke exposure
SCHOLA;2018;The health impacts and economic value of wildland fire episodes in the US: 2008-2012
SCHOLA;2019;Spatial prediction of wildfire susceptibility using field survey GPS data and machine learning approaches
SCHOLA;2018;Defining extreme wildfire events: Difficulties, challenges, and impacts
SCHOLA;2010;Bushfire and everyday life: Examining the awareness-action 'gap'in changing rural landscapes
SCHOLA;2023;Wildland-urban interface: definition and physical fire risk mitigation measures, a systematic review
SCHOLA;2016;A review of the relationships between drought and forest fire in the United States
SCHOLA;2005;Federal forest-fire policy in the United States
SCHOLA;2012;Impact of forest fire on physical, chemical and biological properties of soil: A review
SCHOLA;2016;A review of approaches to estimate wildfire plume injection height within large-scale atmospheric chemical transport models
SCHOLA;2025;The effect of wildfire smoke on children's health: A systematic review
SCHOLA;2005;Landscape fires as social disasters: an overview of 'the bushfire problem
SCHOLA;2024;Associations between short-term exposure to wildfire particulate matter and respiratory outcomes: a systematic review
SCHOLA;2021;Current wildland fire patterns and challenges in Europe: A synthesis of national perspectives
SCHOLA;2016;Too much, too soon? A review of the effects of increasing wildfire frequency on tree mortality and regeneration in temperate eucalypt forests
SCHOLA;2015;A survey on technologies for automatic forest fire monitoring, detection, and fighting using unmanned aerial vehicles and remote sensing techniques
SCHOLA;2009;LANDFIRE: a nationally consistent vegetation, wildland fire, and fuel assessment
SCHOLA;2020;A review on early forest fire detection systems using optical remote sensing
SCHOLA;2020;Wildfire and prescribed burning impacts on air quality in the United States
SCHOLA;2022;A review of simulation experiment techniques used to analyze wildfire effects on water quality and supply
SCHOLA;2017;Forest fire: a review
SCHOLA;2021;Impact of land uses, drought, flood, wildfire, and cascading events on water quality and microbial communities: A review and analysis
SCHOLA;2013;A review of the main driving factors of forest fire ignition over Europe
SCHOLA;2003;Mathematical models and calculation systems for the study of wildland fire behaviour
SCHOLA;2011;Predicted fates of ground-nesting bees in soil heated by wildfire: thermal tolerances of life stages and a survey of nesting depths
SCHOLA;2019;Forest fire induced Natech risk assessment: A survey of geospatial technologies
SCHOLA;1976;Estimating wildfire behavior and effects
SCHOLA;2003;It's just a natural way of life." an investigation of wildfire preparedness in rural Australia
SCHOLA;2022;Wildfire, smoke exposure, human health, and environmental justice need to be integrated into forest restoration and management
SCHOLA;2021;Cardiovascular health impacts of wildfire smoke exposure
SCHOLA;2014;How risk management can prevent future wildfire disasters in the wildland-urban interface
SCHOLA;2022;Smoke and the eyes: a review of the harmful effects of wildfire smoke and air pollution on the ocular surface
SCHOLA;2011;The effects of bushfire smoke on respiratory health
SCHOLA;2019;Should we leave now? Behavioral factors in evacuation under wildfire threat
SCHOLA;2016;Global trends in wildfire and its impacts: perceptions versus realities in a changing world
SCHOLA;2015;Negative consequences of positive feedbacks in US wildfire management
SCHOLA;2013;Expecting the unexpected: predicting physiological and psychological wildfire preparedness from perceived risk, responsibility, and obstacles
SCHOLA;2007;The history and evolution of wildland fire use
SCHOLA;2014;Evidence Review: Wildfire smoke and public health risk
SCHOLA;2023;Local community participation and volunteerism in wildfire area management: A systematic review
SCHOLA;2011;Developing the US wildland fire decision support system
SCHOLA;2014;Evaluating benefits and costs of wildland fires: critical review and future applications
SCHOLA;2014;Learning to coexist with wildfire
SCHOLA;2011;Wildland fire science for management: Federal fire manager information needs, sources, and uses
SCHOLA;2014;Understanding evacuation preferences and wildfire mitigations among Northwest Montana residents
SCHOLA;2020;Wildfire exposure increases pro-environment voting within democratic but not republican areas
SCHOLA;2007;Salient value similarity, social trust and attitudes toward wildland fire management strategies
SCHOLA;2020;Barriers and enablers for prescribed burns for wildfire management in California
SCHOLA;2015;Wildfire smoke and public health risk
SCHOLA;2018;Wildland fire smoke and human health
SCHOLA;2004;National inquiry on bushfire mitigation and management
SCHOLA;2015;Drivers of wildfire suppression costs: literature review and annotated bibliography
SCHOLA;2021;The changing risk and burden of wildfire in the United States
SCHOLA;2021;Forest fire fuel through the lens of remote sensing: Review of approaches, challenges and future directions in the remote sensing of biotic determinants of fire
SCHOLA;2012;On the need for a theory of wildland fire spread
SCHOLA;2022;Spatial and temporal expansion of global wildland fire activity in response to climate change
SCHOLA;2011;Understanding homeowner preparation and intended actions when threatened by a wildfire
SCHOLA;2017;Inside the inferno: fundamental processes of wildland fire behaviour: part 1: combustion chemistry and heat release
SCHOLA;2014;Wildfire and the future of water supply
SCHOLA;2001;Comparisons between wildfire and forest harvesting and their implications in forest management
SCHOLA;2011;Backfired-Distorted Incentives in Wildfire Suppression Techniques
SCHOLA;2025;Forest fire consequences under the influence of changing climate: A systematic review with bibliometric analysis in the context of sustainable development goals
SCHOLA;2016;Airborne optical and thermal remote sensing for wildfire detection and monitoring
SCHOLA;2013;Social amplification of wildfire risk: the role of social interactions and information sources
SCHOLA;2021;Towards a comprehensive look at global drivers of novel extreme wildfire events
SCHOLA;2004;Wildfire management in the United States: the evolution of a policy failure
SCHOLA;2013;Defining the importance of mental preparedness for risk communication and residents well-prepared for wildfire
SCHOLA;2021;Wildfire and climate change adaptation of western North American forests: a case for intentional management
SCHOLA;2024;Air pollution and the labor market: Evidence from wildfire smoke
SCHOLA;2008;What influences hazard mitigation? Household decision making about wildfire risks in Arizona's White Mountains
SCHOLA;2024;The evolving role of wildfire in the Maritimes region of eastern Canada
SCHOLA;2023;Building water resilience in the face of cascading wildfire risks
SCHOLA;2023;Evacuation simulation under threat of wildfire-an overview of research, development, and knowledge gaps
SCHOLA;2013;Gender, masculinity and bushfire: Australia in an international context
SCHOLA;2012;Trying not to get burned: Understanding homeowners' wildfire risk-mitigation behaviors
SCHOLA;2022;Wildfire impacts on western United States snowpacks
SCHOLA;2006;Wildfire as a hydrological and geomorphological agent
SCHOLA;2021;Attribution of the Australian bushfire risk to anthropogenic climate change
SCHOLA;2015;Conflict and collaboration in wildfire management: the role of mission alignment
SCHOLA;2009;Interpreting and using outputs from the Canadian Forest Fire Danger Rating System in research applications
SCHOLA;2017;Comparison of wildfire smoke estimation methods and associations with cardiopulmonary-related hospital admissions
SCHOLA;2018;The wildfire within: gender, leadership and wildland fire culture
SCHOLA;2014;Non-accidental health impacts of wildfire smoke
SCHOLA;2023;Co-optimization of power line shutoff and restoration under high wildfire ignition risk
SCHOLA;2005;The response of mammals to forest fire and timber harvest in the North American boreal forest
SCHOLA;2009;Fire intensity, fire severity and burn severity: a brief review and suggested usage
SCHOLA;2022;Probabilistic Wildfire risk assessment methodology and evaluation of a supply chain network
SCHOLA;2020;Preliminary results from a wildfire detection system using deep learning on remote camera images
SCHOLA;2009;Implications of changing climate for global wildland fire
SCHOLA;2025;.: Land use history, climate change, institutional capacity and war drive forest fire damage in the Siversky Donets basin of eastern Ukraine: A historical review
SCHOLA;2017;Wildfire-specific fine particulate matter and risk of hospital admissions in urban and rural counties
SCHOLA;2018;Values of the public at risk of wildfire and its management
SCHOLA;2024;Digital strategies in wildfire management: social media analytics and Web 3.0 integration
SCHOLA;2010;A smart bushfire monitoring and detection system using GSM technology
SCHOLA;2012;Responding to bushfire risk: the need for transformative adaptation
SCHOLA;2015;An ecosystems and vulnerable populations perspective on solastalgia and psychological distress after a wildfire
SCHOLA;2021;Risk perceptions and mitigation behaviors of residents following a near-miss wildfire
SCHOLA;2013;Global wildland fire season severity in the 21st century
SCHOLA;2019;Wildfire smoke exposure under climate change: impact on respiratory health of affected communities
SCHOLA;2014;Gendered risk engagement: challenging the embedded vulnerability, social norms and power relations in conventional A ustralian bushfire education
SCHOLA;2011;Integrated national-scale assessment of wildfire risk to human and ecological values
SCHOLA;2013;Wildfire, wildlands, and people: understanding and preparing for wildfire in the wildland-urban interface-a Forests on the Edge report
SCHOLA;2012;Ozone production from wildfires: A critical review
SCHOLA;2021;The impact of wildfires on mental health: a scoping review
SCHOLA;2004;Effects of wildfire on soils and watershed processes
SCHOLA;2009;The role of risk perceptions in the risk mitigation process: The case of wildfire in high risk communities
SCHOLA;2003;Climate and wildfire in the western United States
SCHOLA;2017;Human exposure and sensitivity to globally extreme wildfire events
SCHOLA;2023;Identifying research needs for canadian wildfire building code development
SCHOLA;2021;Strategic wildfire response decision support and the risk management assistance program
SCHOLA;2011;Landscape-wildfire interactions in southern Europe: implications for landscape management
SCHOLA;2016;Getting ahead of the wildfire problem: Quantifying and mapping management challenges and opportunities
SCHOLA;2012;The hidden cost of wildfires: Economic valuation of health effects of wildfire smoke exposure in Southern California
SCHOLA;2016;An uncertainty analysis of wildfire modeling
SCHOLA;2018;The unequal vulnerability of communities of color to wildfire
SCHOLA;2008;Living with bushfire risk: Social and environmental influences on preparedness
SCHOLA;2022;Exposures and behavioural responses to wildfire smoke
SCHOLA;2021;A survey of machine learning algorithms based forest fires prediction and detection systems
SCHOLA;2014;Environmental circumstances surrounding bushfire fatalities in Australia 1901-2011
SCHOLA;2009;Human-caused wildfire risk rating for prevention planning in Spain
SCHOLA;2008;Towards a destination tourism disaster management framework: Long-term lessons from a forest fire disaster
SCHOLA;2002;Wildland forest fire smoke: health effects and intervention evaluation, Hoopa, California, 1999
SCHOLA;2019;Wildfire monitoring in remote areas using autonomous unmanned aerial vehicles
SCHOLA;2017;Community vulnerability to health impacts of wildland fire smoke exposure
SCHOLA;2019;Progress and challenges in quantifying wildfire smoke emissions, their properties, transport, and atmospheric impacts
SCHOLA;2008;Increasing wildfire in Alaska's boreal forest: Pathways to potential solutions of a wicked problem
SCHOLA;2022;Forest fire detection system using wireless sensor networks and machine learning
SCHOLA;2012;Wildfire evacuation and its alternatives in a post-Black Saturday landscape: Catchy slogans and cautionary tales
SCHOLA;2024;Longitudinal propagation of aquatic disturbances following the largest wildfire recorded in New Mexico, USA
SCHOLA;2023;Factors influencing flood risk mitigation after wildfire: Insights for individual and collective action after the 2010 Schultz Fire
SCHOLA;1992;Self-organized critical forest-fire model
SCHOLA;2021;DamageMap: A post-wildfire damaged buildings classifier
SCHOLA;2021;The role of UAV-IoT networks in future wildfire detection
SCHOLA;2013;Wildfire preparedness, community cohesion and social-ecological systems
SCHOLA;2022;Exploring 'wait and see'responses in French and Australian WUI wildfire emergencies
SCHOLA;2021;Wildfire smoke impacts respiratory health more than fine particles from other sources: observational evidence from Southern California
SCHOLA;2016;Investigation of general indicators influencing on forest fire and its susceptibility modeling using different data mining techniques
SCHOLA;2015;Limitations and utilisation of Monitoring Trends in Burn Severity products for assessing wildfire severity in the USA
SCHOLA;2022;Bushfire smoke and children's health-exploring a communication gap
SCHOLA;2002;Outcomes for young adults who experienced foster care
SCHOLA;2019;Wildfire monitoring and hotspots detection with aerial robots: Measurement campaign and first results
SCHOLA;2019;Impact of wildfire smoke on adverse pregnancy outcomes in Colorado, 2007-2015
SCHOLA;2022;Wildfire danger prediction and understanding with deep learning
SCHOLA;2022;Quantifying the risk of wildfire ignition by power lines under extreme weather conditions
SCHOLA;2018;Lived experience of a record wildfire season in the Northwest Territories, Canada
SCHOLA;2024;The role of radio, television and mobile phones in disseminating information on occurrences of wildfire in Uluguru Mountains Nature Reserve-Morogoro Tanzania
SCHOLA;2019;Use of fire-extinguishing balls for a conceptual system of drone-assisted wildfire fighting
SCHOLA;2004;Wildfire policy and public lands: integrating scientific understanding with social concerns across landscapes
SCHOLA;2008;Global wildland fire emissions from 1960 to 2000
SCHOLA;2021;A survey on the effects of bumpy road on the vibration of multi-purpose forest fire fighting vehicle
SCHOLA;2023;An improved forest fire detection method based on the detectron2 model and a deep learning approach
SCHOLA;2007;Is wildfire policy in the United States sustainable?
SCHOLA;2019;Cardiopulmonary effects of fine particulate matter exposure among older adults, during wildfire and non-wildfire periods, in the United States 2008-2010
SCHOLA;2022;Data-driven spatio-temporal analysis of wildfire risk to power systems operation
SCHOLA;2022;Deep learning and transformer approaches for UAV-based wildfire detection and segmentation
SCHOLA;2016;Trends in post-disturbance recovery rates of Canada's forests following wildfire and harvest
SCHOLA;2000;Wildland fire in ecosystems: effects of fire on flora
SCHOLA;2018;Forest fire characteristics in China: Spatial patterns and determinants with thresholds
SCHOLA;2012;Estimation of wildfire size and risk changes due to fuels treatments
SCHOLA;2003;A review of prescribed burning effectiveness in fire hazard reduction
SCHOLA;2011;Complexity of homeowner wildfire risk mitigation: an integration of hazard theories
